Subzone N,Geometry,Latitude (generated),Longitude (generated),Four Rm,Three Rm
SEMBAWANG EAST,POLYGON,1.448154896,103.830004111,0,0
SEMBAWANG CENTRAL,POLYGON,1.446418857,103.817535453,11010,0
SEMAKAU,MULTIPOLYGON,1.206050988,103.769617923,0,0
SELETAR HILLS,POLYGON,1.384143281,103.866695753,0,0
SELETAR AEROSPACE PARK,POLYGON,1.412596497,103.864716829,0,0
SELETAR,POLYGON,1.407994164,103.886584522,0,0
SELEGIE,POLYGON,1.301915791,103.849520842,0,0
SAUJANA,POLYGON,1.384644778,103.765216787,10770,660
SAMULUN,POLYGON,1.305361781,103.699963012,0,0
SAFTI,POLYGON,1.334761550,103.682489873,0,0
ROCHOR CANAL,POLYGON,1.304201476,103.857134591,0,0
ROBERTSON QUAY,POLYGON,1.291846368,103.836397947,0,0
RIVERVALE,POLYGON,1.387218634,103.903843666,21500,910
RIDOUT,POLYGON,1.302558509,103.811290823,0,0
RESERVOIR VIEW,POLYGON,1.433166870,103.742382488,0,0
REDHILL,POLYGON,1.287279935,103.817452805,3220,2350
RAFFLES PLACE,POLYGON,1.283958222,103.850579421,0,0
QUEENSWAY,POLYGON,1.288523375,103.799940902,0,0
PUNGGOL TOWN CENTRE,POLYGON,1.408455068,103.899668287,8040,1540
PUNGGOL FIELD,POLYGON,1.393889792,103.912746019,13180,130
PUNGGOL CANAL,POLYGON,1.408164824,103.916910060,0,0
PULAU SELETAR,POLYGON,1.443654654,103.863599311,0,0
PULAU PUNGGOL TIMOR,MULTIPOLYGON,1.419437522,103.894333458,0,0
PULAU PUNGGOL BARAT,POLYGON,1.426954483,103.876059924,0,0
POTONG PASIR,POLYGON,1.333693280,103.865262331,4000,5330
PORT,POLYGON,1.286906921,103.767125313,0,0
PLAB,POLYGON,1.356360698,103.909298018,0,0
PIONEER SECTOR,POLYGON,1.302763362,103.657788859,0,0
PHILLIP,POLYGON,1.285004063,103.849169039,0,0
PEOPLE'S PARK,POLYGON,1.282609643,103.840258884,0,0
PENJURU CRESCENT,POLYGON,1.299253801,103.743493789,0,0
PENG SIANG,POLYGON,1.379484874,103.738955819,20440,670
PEI CHUN,POLYGON,1.337524474,103.857508580,2970,5710
PEARL'S HILL,POLYGON,1.284091032,103.839720391,280,1190
PAYA LEBAR WEST,POLYGON,1.374451626,103.912581210,0,0
PAYA LEBAR NORTH,POLYGON,1.374858771,103.926212002,0,0
PAYA LEBAR EAST,POLYGON,1.353408342,103.922302914,0,0
PATERSON,POLYGON,1.301033784,103.831603804,0,0
PASIR RIS WEST,POLYGON,1.377700137,103.940593880,10770,0
PASIR RIS WAFER FAB PARK,POLYGON,1.389158611,103.932503929,0,0
PASIR RIS PARK,POLYGON,1.382157958,103.953357963,0,0
PASIR RIS DRIVE,POLYGON,1.368447078,103.956965957,23700,0
PASIR RIS CENTRAL,POLYGON,1.372438326,103.947456603,6610,810
PASIR PANJANG 2,POLYGON,1.278620040,103.795176808,0,0
PASIR PANJANG 1,POLYGON,1.289401664,103.778110815,0,0
PANG SUA,POLYGON,1.412515677,103.747209665,0,0
PANDAN,POLYGON,1.308057477,103.751948038,0,0
OXLEY,POLYGON,1.296689575,103.840614405,0,0
ORANGE GROVE,POLYGON,1.309162073,103.829903605,0,0
ONE TREE HILL,POLYGON,1.302135211,103.827147142,0,0
ONE NORTH,POLYGON,1.301493530,103.790043784,0,0
NORTHSHORE,POLYGON,1.418215902,103.907036591,0,0
NORTHLAND,POLYGON,1.436306586,103.838101803,16530,7090
NORTH-EASTERN ISLANDS,MULTIPOLYGON,1.409950293,104.003624870,0,0
NORTH COAST,POLYGON,1.451991940,103.779102349,6000,5700
NEWTON CIRCUS,POLYGON,1.311603607,103.838151660,0,0
NEE SOON,POLYGON,1.406872929,103.814678301,0,0
NATURE RESERVE,POLYGON,1.351546869,103.779829056,0,0
NATIONAL UNIVERSITY OF S'PORE,POLYGON,1.294081160,103.773748320,0,0
NASSIM,POLYGON,1.312060854,103.826428176,0,0
MOUNTBATTEN,POLYGON,1.303622939,103.889768122,0,0
MOUNT PLEASANT,POLYGON,1.335601989,103.829739223,0,0
MOUNT EMILY,POLYGON,1.301770730,103.847803820,0,0
MOULMEIN,POLYGON,1.317870301,103.841975784,180,0
MONK'S HILL,POLYGON,1.307286520,103.841579365,0,0
MIDVIEW,POLYGON,1.439874049,103.791430457,15630,1090
MEI CHIN,POLYGON,1.292086267,103.803144798,2890,5610
MAXWELL,POLYGON,1.279832031,103.845854396,0,0
MATILDA,POLYGON,1.403982193,103.893376787,15960,3700
MARYMOUNT,POLYGON,1.351954868,103.843509955,14690,0
MARITIME SQUARE,POLYGON,1.265566323,103.813372448,0,0
MARINE PARADE,POLYGON,1.303907454,103.907242297,5170,6730
MARINA SOUTH,POLYGON,1.281199992,103.868169645,0,0
MARINA EAST (MP),POLYGON,1.291903356,103.888191407,0,0
MARINA EAST,POLYGON,1.286346913,103.874278173,0,0
MARINA CENTRE,POLYGON,1.293772814,103.862099210,0,0
MARGARET DRIVE,POLYGON,1.298563177,103.808058280,8860,900
MANDAI WEST,POLYGON,1.418958882,103.787457433,0,0
MANDAI ESTATE,POLYGON,1.426923703,103.825019744,0,0
MANDAI EAST,POLYGON,1.427851057,103.817796867,0,0
MALCOLM,POLYGON,1.321625612,103.834099828,0,0
MACPHERSON,POLYGON,1.328054310,103.884951550,5800,11950
MACKENZIE,POLYGON,1.306492769,103.847974175,0,0
LOYANG WEST,POLYGON,1.381507438,103.970633989,0,0
LOYANG EAST,POLYGON,1.367469135,103.975056032,0,0
LOWER SELETAR,POLYGON,1.411199341,103.852942025,1330,380
LORONG HALUS NORTH,POLYGON,1.380755072,103.911894731,0,0
LORONG HALUS,POLYGON,1.373247803,103.905735797,0,0
LORONG CHUAN,POLYGON,1.347576039,103.864445784,0,0
LORONG AH SOO,POLYGON,1.355470584,103.885753164,10720,8610
LORONG 8 TOA PAYOH,POLYGON,1.340539669,103.857284894,3150,2300
LIU FANG,POLYGON,1.317950572,103.712267897,0,0
LITTLE INDIA,POLYGON,1.306727548,103.853772286,1630,1360
LIM CHU KANG,POLYGON,1.443149927,103.723686692,0,0
LEONIE HILL,POLYGON,1.297794354,103.834555734,0,0
LEEDON PARK,POLYGON,1.314368968,103.798359372,0,0
LAVENDER,POLYGON,1.310236560,103.859133141,1650,1320
LAKESIDE,POLYGON,1.335326008,103.730777369,0,0
KRANJI,POLYGON,1.435784915,103.762105595,0,0
KOVAN,POLYGON,1.362346595,103.878081574,2460,760
KIM KEAT,POLYGON,1.331055060,103.858360722,2740,3440
KIAN TECK,POLYGON,1.331682662,103.696938369,0,0
KHATIB,POLYGON,1.419109490,103.828965950,4560,1760
KENT RIDGE,POLYGON,1.283334094,103.791615867,0,0
KEMBANGAN,POLYGON,1.325609302,103.916474999,6260,7840
KEBUN BAHRU,POLYGON,1.372600026,103.838958760,6290,11420
KEAT HONG,POLYGON,1.375340520,103.745727971,10100,490
KATONG,POLYGON,1.307439017,103.902575479,0,0
KANGKAR,POLYGON,1.372689196,103.900793058,8840,5330
KAMPONG UBI,POLYGON,1.331089436,103.897027203,9520,1110
KAMPONG TIONG BAHRU,POLYGON,1.278469860,103.826764254,2010,4490
KAMPONG JAVA,POLYGON,1.313041905,103.850701687,3780,1930
KAMPONG GLAM,POLYGON,1.302455442,103.859369992,0,0
KAMPONG BUGIS,POLYGON,1.308356741,103.871137238,620,0
KALLANG WAY,POLYGON,1.325023085,103.874050769,0,0
KALLANG BAHRU,POLYGON,1.313834620,103.864965749,0,0
KAKI BUKIT,POLYGON,1.337419944,103.908427226,16050,6560
JURONG WEST CENTRAL,POLYGON,1.340774631,103.701211267,25310,100
JURONG RIVER,POLYGON,1.321230107,103.724256636,0,0
JURONG PORT,MULTIPOLYGON,1.306112136,103.715338435,0,0
JURONG ISLAND AND BUKOM,MULTIPOLYGON,1.251572026,103.727931432,0,0
JURONG GATEWAY,POLYGON,1.334183318,103.742024955,0,0
JOO SENG,POLYGON,1.336802460,103.882467351,1870,910
JOO KOON,POLYGON,1.327682820,103.676227872,0,0
JELEBU,POLYGON,1.376007800,103.766449073,10550,4130
ISTANA NEGARA,POLYGON,1.304640560,103.844369045,0,0
INTERNATIONAL BUSINESS PARK,POLYGON,1.326098913,103.748226554,0,0
INSTITUTION HILL,POLYGON,1.293970170,103.837842705,0,0
HOUGANG WEST,POLYGON,1.374300043,103.885371800,27030,8630
HOUGANG EAST,POLYGON,1.377614564,103.897903298,13580,1430
HOUGANG CENTRAL,POLYGON,1.370085413,103.890163992,1520,80
HONG KAH NORTH,POLYGON,1.361744836,103.747512891,13830,7940
HONG KAH,POLYGON,1.349026831,103.724074151,25580,12610
HOLLAND ROAD,POLYGON,1.325075319,103.781813892,0,0
HOLLAND DRIVE,POLYGON,1.309355223,103.794771369,4610,6220
HILLVIEW,POLYGON,1.356708052,103.762243220,0,0
HILLCREST,POLYGON,1.335955743,103.811110229,0,0
